year,month,value
2021,4,51.85
2021,5,60.33
2021,6,72.57
2021,7,75.4
2021,8,73.96
2021,9,67.78
2021,10,56.95
2021,11,45.07
2021,12,39.34
2022,1,31.17
2022,2,33.66
2022,3,44.08
2022,4,50.67
2022,5,61.92
2022,6,70.79
2022,7,76.39
2022,8,74.59
2022,9,68.02
2022,10,55.18
2022,11,40.96
2022,12,33.12
2023,1,35.08
2023,2,36.34
2023,3,40.53
2023,4,51.3
2023,5,62.37
2023,6,68.99
2023,7,75.65
2023,8,74.35
2023,9,67.73
2023,10,56.03
2023,11,44.22
2023,12,39.76
2024,1,31.89
2024,2,40.82
2024,3,44.96
2024,4,53.64
2024,5,62.26
2024,6,71.78
2024,7,75.69
2024,8,73.99
2024,9,68.61
2024,10,58.98
2024,11,45.28
